section,old_feature,new_feature,derived,description
active,,row_id,нет,Уникальный идентификатор строки для контроля целостности данных и корректной сборки датасета.
active,lead_Ширина,width_cat,да,Категориальная версия ширины. Числовое значение было сгруппировано в интервалы для снижения влияния выбросов и упрощения модели.
active,lead_Ширина,width_is_missing,да,Флаг пропуска по ширине. Позволяет модели отдельно учитывать сам факт отсутствия значения.
active,lead_Линейная высота (см),lead_height_bin,да,"Категория высоты, полученная биннингом исходного признака. Упрощает работу с неравномерным распределением."
active,lead_Линейная высота (см),lead_height_known,да,Флаг наличия исходного значения высоты. Отделяет реальные измерения от пропусков.
active,lead_Линейная высота (см),lead_height_log,да,Логарифмированная высота. Используется для сглаживания асимметрии распределения.
active,lead_Вид оплаты,lead_payment_type,да,Укрупненный тип оплаты. Редкие и шумные категории были объединены в более устойчивые группы.
active,lead_Служба доставки,lead_delivery_type,да,Укрупненный тип доставки. Признак отражает общий сценарий доставки без лишней детализации.
active,lead_group_id,lead_group_id_missing,да,Индикатор пропуска в идентификаторе группы. Позволяет учитывать отсутствие значения как отдельный сигнал.
active,lead_group_id,lead_group_quality,да,"Числовая оценка качества группы, полученная на основе target/frequency encoding. Сжимает высокую кардинальность в один информативный признак."
active,lead_Масса (гр),lead_mass_known,да,Флаг наличия массы. Помогает отделять реальные измерения от отсутствующих значений.
active,lead_Масса (гр),lead_mass_log,да,Логарифм массы. Снижает влияние крупных значений и выбросов.
active,contact_created_dt + lead_created_dt,contact_to_lead_hours,да,Разница между временем контакта и созданием лида в часах. Характеризует задержку между событиями.
active,contact_created_dt,contact_missing,да,"Флаг отсутствия даты контакта. Полезен, если сам пропуск связан с особенностями процесса."
active,lead_utm_medium,is_paid_traffic,да,Бинарный признак платного трафика. Отделяет рекламный трафик от остальных источников.
active,lead_Категория,lead_category_freq,да,Частотное кодирование категории. Показывает распространенность значения без one-hot кодирования.
active,device_type,is_feature_phone,да,Флаг простого телефона. Отражает тип устройства клиента в компактной бинарной форме.
active,lead_utm_campaign,lead_utm_campaign_missing,да,Флаг пропуска UTM-кампании. Позволяет явно учитывать отсутствие разметки.
active,lead_utm_campaign,lead_utm_campaign_grouped,да,Сгруппированная версия UTM-кампании. Снижает кардинальность и шум исходного поля.
active,traffic_source,traffic_source_missing,да,Флаг пропуска источника трафика. Может нести отдельный сигнал о качестве данных.
active,traffic_source,traffic_source_grouped,да,Укрупненные группы источников трафика. Делает признак стабильнее для модели.
active,utm_term,utm_term_missing,да,Флаг отсутствия UTM-терма. Полезен для учета неразмеченного трафика.
active,utm_term,utm_term_grouped,да,Сгруппированные поисковые термы. Снижает количество редких категорий.
